inning,team,retroID,count,pitches,play
8,0,margm001,31,BBBCX,63/L
4,0,hosme001,31,BBBFX,8/F
10,1,seguj002,32,BBBCCFX,8/L/DP.2X2(86)
3,1,seguj002,31,BBBCB,W.1-2
9,0,fraza001,30,BBBB,W
9,1,hoskr001,32,BBBFFFX,8/F
9,1,realj001,32,BBBCCX,8/F
6,1,harpb003,31,BBBCB,W
7,1,dickc002,32,BBBCFFS,K
5,0,rosaa003,32,BBBCSS,K
5,1,harpb003,30,BBBB,W.1-2
6,0,alonp001,30,BBBX,S7/L
9,0,davij006,30,BBBB,W
1,0,alonp001,32,BBBCCFB,W.1-2
6,1,kings001,32,BBBCFX,S9/F.2-3;1-2
4,0,panij002,32,BBBCCB,W
2,0,acunr001,31,BBBSB,W
1,1,hernc005,30,BBBB,W
7,1,realj001,30,BBBB,W
8,1,kings001,30,BBBB,W
2,0,camaj001,31,BBBCX,7/F
7,0,acunr001,32,BBBFFB,W
2,1,kings001,31,BBBCX,S7/L+
3,1,hoskr001,30,BBBB,W
3,1,hasea001,31,BBBCB,W
5,0,albio001,30,BBBB,W
6,0,duvaa001,32,BBBCFB,W
7,0,acunr001,32,BBBCFX,HR/8/F
5,0,vazqc001,30,BBBB,W
9,1,hasea001,30,BBBB,W
5,0,diazi001,32,BBBCFX,31/G
7,0,bertj001,32,BBBCFFX,53/G
14,1,rodrs002,31,BBBCB,W
2,1,hernc005,32,BBBCFB,W.1-2
3,0,bertj001,30,BBBB,W
6,1,gruld001,32,BBBFCX,3/L
8,1,piven001,31,BBBCB,W
1,1,fraza001,31,BBBCB,W
1,1,cervf001,31,BBBCB,W
4,0,fowld001,31,BBBCX,S7/L
10,0,badeh001,31,BBBFB,W
3,1,shucj001,30,BBBB,W
4,1,fraza001,32,BBBFFX,D/L/FINT
6,1,tailj001,32,BBBCSC,K
10,0,goldp001,30,BBBB,W.2-3;1-2
3,0,puigy001,30,BBBX,8/F+
2,1,morac001,32,BBBCFS,K
4,0,suare001,31,BBBCB,W
7,0,longe001,32,BBBCCB,W.1-2
8,1,bellj005,30,BBBB,W
5,1,reyep001,30,BBBB,W
2,0,panij002,32,BBBCSX,7/L
6,0,panij002,32,BBBCTFFB,W
2,0,ahmen001,32,BBBCCB,W
9,0,escoe001,30,BBBB,W.1-2
6,0,dysoj001,31,BBBCB,W
9,0,martk001,30,BBBB,W
9,1,martj009,32,BBBCSFB,W
1,1,bellj005,30,BBBB,W.1-2
2,0,ahmen001,31,BBBCX,HR/8/F
6,1,kangj001,31,BBBCX,HR/8/F
7,1,fraza001,32,BBBCCX,7/L
1,1,fraza001,31,BBBCB,W
1,1,polag001,31,BBBCX,8/F
2,0,semim001,30,BBBB,W
7,0,grosr001,31,BBBCB,W
7,1,tuckc001,30,BBBB,W
8,1,marts002,30,BBBB,W
11,0,morak001,32,BBBCCFX,53/G
13,0,laurr001,30,BBBB,W
4,1,newmk001,30,BBBB,W.2-3;1-2
6,0,pench001,31,BBBCB,W
2,0,mathj001,32,BBBCCFT,K
8,0,gallj002,30,BBBB,W
4,0,woltt001,30,BBBB,W.1-2
9,1,reynb001,31,BBBCB,W
2,0,stort001,30,BBBB,W
4,1,bellj005,30,BBBX,S9/G.2-H
6,0,mcmar001,30,BBBB,W.1-2
1,0,beatm001,32,BBBCFX,S7/L
2,0,muncm001,31,BBBCX,7/F
4,0,turnj001,31,BBBCX,8/L+
7,0,seagc001,32,BBBCSFB,W
7,1,tuckc001,32,BBBCFX,53/G
6,1,elmoj001,31,BBBCX,9/F
7,0,bellc002,32,BBBCSS,K
2,1,reynb001,30,BBBX,HR/9/F.1-H
6,0,muncm001,32,BBBCCX,8/F
6,0,turnj001,31,BBBCX,S8/L
7,1,marts002,30,BBBB,W
2,0,arcio002,31,BBBCX,S7/G
5,1,bellj005,31,BBBCX,8/F
6,0,yelic001,32,BBBCFS,K
7,0,thame001,30,BBBV,IW
3,1,archc001,31,BBBCB,W.3-H;2-3;1-2
4,0,aguij001,30,BBBB,W
9,1,fraza001,30,BBBX,T9/F
13,0,grany001,32,BBBCCX,53/G
2,0,rilea001,30,BBBB,W
3,0,freef001,32,BBBCSX,S9/G
3,0,markn001,32,BBBCFFX,7/F
4,1,marts002,30,BBBX,6/L
6,0,albio001,30,BBBB,W.1-2
7,0,donaj001,30,BBBB,W
8,1,cabrm002,31,BBBCB,W.1-2
7,0,rilea001,31,BBBCX,2/P2F
8,0,albio001,31,BBBCB,W
9,0,acunr001,30,BBBB,W.2-3;1-2
3,0,goodn002,30,BBBB,W
5,1,morac001,32,BBBCCFX,S9/L
7,0,goodn002,30,BBBB,W
8,0,renfh001,30,BBBB,W.2-3;1-2
